IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.157.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,205,6.90
47.242.232.14,8080,8080,false,HKG,Asia Pacific,Hong Kong,72,4.51
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,4.50
8.217.91.121,2052,2052,false,HKG,Asia Pacific,Hong Kong,55,4.13
47.243.90.180,2095,2095,false,HKG,Asia Pacific,Hong Kong,73,4.11
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,3.94
8.218.8.142,2086,2086,false,HKG,Asia Pacific,Hong Kong,70,3.37
8.218.85.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,81,3.26
47.243.183.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,276,2.86
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,2.84
47.242.232.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,2.80
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,2.71
47.243.206.150,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,2.51
8.218.8.142,80,80,false,HKG,Asia Pacific,Hong Kong,66,2.40
8.210.34.188,2052,2052,false,HKG,Asia Pacific,Hong Kong,69,2.21
47.243.90.180,2082,2082,false,HKG,Asia Pacific,Hong Kong,69,2.06
8.218.222.36,2086,2086,false,HKG,Asia Pacific,Hong Kong,53,2.03
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,1.98
8.218.85.128,80,80,false,HKG,Asia Pacific,Hong Kong,364,1.97
8.217.250.222,8080,8080,false,HKG,Asia Pacific,Hong Kong,69,1.94
8.210.146.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,73,1.84
47.243.169.63,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,1.84
8.218.174.118,2082,2082,false,HKG,Asia Pacific,Hong Kong,123,1.72
47.242.79.71,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,1.70
8.218.222.36,80,80,false,HKG,Asia Pacific,Hong Kong,70,1.62
47.242.79.71,2086,2086,false,HKG,Asia Pacific,Hong Kong,51,1.60
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,69,1.60
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,53,1.58
8.210.175.109,80,80,false,HKG,Asia Pacific,Hong Kong,54,1.58
8.218.204.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,69,1.58
8.217.85.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,70,1.56
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,69,1.51
8.218.48.92,2052,2052,false,HKG,Asia Pacific,Hong Kong,69,1.51
8.217.207.60,80,80,false,HKG,Asia Pacific,Hong Kong,81,1.49
8.210.100.23,2052,2052,false,HKG,Asia Pacific,Hong Kong,50,1.45
47.243.90.180,2086,2086,false,HKG,Asia Pacific,Hong Kong,82,1.43
47.76.49.246,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,1.42
47.243.107.148,8880,8880,false,HKG,Asia Pacific,Hong Kong,72,1.40
47.243.107.148,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,1.38
47.243.60.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,72,1.37
8.210.100.23,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,1.35
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,1.35
8.210.100.23,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,1.34
47.242.234.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,70,1.32
47.242.155.183,80,80,false,HKG,Asia Pacific,Hong Kong,69,1.32
8.218.211.17,2086,2086,false,HKG,Asia Pacific,Hong Kong,72,1.31
47.242.157.96,80,80,false,HKG,Asia Pacific,Hong Kong,81,1.30
8.218.211.17,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,1.29
8.218.8.142,2052,2052,false,HKG,Asia Pacific,Hong Kong,70,1.27
8.218.204.128,80,80,false,HKG,Asia Pacific,Hong Kong,55,1.27
8.217.250.222,2095,2095,false,HKG,Asia Pacific,Hong Kong,54,1.26
47.242.252.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,73,1.25
8.218.136.25,2052,2052,false,HKG,Asia Pacific,Hong Kong,72,1.25
8.217.85.14,2052,2052,false,HKG,Asia Pacific,Hong Kong,82,1.24
47.243.206.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,1.23
47.242.79.71,2052,2052,false,HKG,Asia Pacific,Hong Kong,72,1.23
47.243.169.63,2095,2095,false,HKG,Asia Pacific,Hong Kong,66,1.23
