IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.20.199.241,22337,443,true,NRT,Asia Pacific,Tokyo,85,3.23
103.20.199.241,22338,443,true,NRT,Asia Pacific,Tokyo,75,3.21
103.150.8.57,58294,443,true,NRT,Asia Pacific,Tokyo,90,2.56
43.153.181.217,80,80,false,NRT,Asia Pacific,Tokyo,177,2.13
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,311,1.25
8.219.153.237,2087,2087,true,NRT,Asia Pacific,Tokyo,295,1.18
45.66.130.112,56061,443,true,NRT,Asia Pacific,Tokyo,98,0.94
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,295,0.83
8.219.153.237,8080,8080,false,NRT,Asia Pacific,Tokyo,296,0.76
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,294,0.75
47.236.125.62,2082,2082,false,NRT,Asia Pacific,Tokyo,306,0.73
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,284,0.73
8.219.66.156,8080,8080,false,NRT,Asia Pacific,Tokyo,294,0.73
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,284,0.57
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,284,0.56
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,302,0.53
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,294,0.50
172.93.220.153,12345,80,false,NRT,Asia Pacific,Tokyo,92,0.49
45.159.48.42,34237,2096,true,NRT,Asia Pacific,Tokyo,76,0.48
147.78.246.86,53443,443,true,NRT,Asia Pacific,Tokyo,75,0.47
8.219.66.156,80,80,false,NRT,Asia Pacific,Tokyo,295,0.39
8.219.153.237,2053,2053,true,NRT,Asia Pacific,Tokyo,305,0.34
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,277,0.22
47.236.125.62,80,80,false,NRT,Asia Pacific,Tokyo,295,0.11
45.60.186.91,2052,2052,false,NRT,Asia Pacific,Tokyo,102,0.10
185.184.223.45,18443,443,true,NRT,Asia Pacific,Tokyo,79,0.10
45.60.186.91,2082,2082,false,NRT,Asia Pacific,Tokyo,82,0.08
18.223.255.25,443,443,true,NRT,Asia Pacific,Tokyo,244,0.01
47.236.125.62,8443,8443,true,NRT,Asia Pacific,Tokyo,295,0.00
176.119.149.243,3000,2053,true,NRT,Asia Pacific,Tokyo,95,0.00
131.186.60.210,443,443,true,NRT,Asia Pacific,Tokyo,199,0.00
45.66.128.148,15280,443,true,NRT,Asia Pacific,Tokyo,80,0.00
193.32.149.196,40809,80,false,NRT,Asia Pacific,Tokyo,128,0.00
